Year,Champions,Runner-Up
2022-23,Manchester City,Arsenal
2021-22,Manchester City,Liverpool
2020-21,Manchester City,Manchester United
2019-20,Liverpool,Manchester City
2018-19,Manchester City,Liverpool
2017–18,Manchester City,Manchester United
2016–17,Chelsea,Tottenham Hotspur
2015–16,Leicester City,Arsenal
2014–15,Chelsea,Manchester City
2013–14,Manchester City,Liverpool
2012–13,Manchester United,Manchester City
2011–12,Manchester City,Manchester United
2010–11,Manchester United,Chelsea
2009–10,Chelsea,Manchester United
2008–09,Manchester United,Liverpool
2007–08,Manchester United,Chelsea
2006–07,Manchester United,Chelsea
2005–06,Chelsea,Manchester United
2004–05,Chelsea,Arsenal
2003–04,Arsenal,Chelsea
2002–03,Manchester United,Arsenal
2001–02,Arsenal,Liverpool
2000–01,Manchester United,Arsenal
1999–2000,Manchester United,Arsenal
1998–99,Manchester United,Arsenal
1997–98,Arsenal,Manchester United
1996–97,Manchester United,Newcastle United 
1995–96,Manchester United,Newcastle United 
1994–95,Blackburn Rovers,Manchester United
1993–94,Manchester United,Blackburn Rovers
1992–93,Manchester United,Aston Villa