year,club_name,club_logo
2022,Manchester City,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
2021,Manchester City,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
2020,Liverpool,https://a.espncdn.com/i/teamlogos/soccer/500/364.png
2019,Manchester City,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
2018,Manchester City,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
2017,Chelsea,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
2016,Leicester City City,https://a.espncdn.com/i/teamlogos/soccer/500/375.png
2015,Chelsea,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
2014,Manchester City,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
2013,Manchester United,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
2012,Manchester City,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
2011,Manchester United,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
2010,Chelsea,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
2009,Manchester United,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
2008,Manchester United,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
2007,Manchester United,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
2006,Chelsea,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
2005,Chelsea,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
2004,Arsenal,https://a.espncdn.com/i/teamlogos/soccer/500/359.png
2003,Manchester United,https://a.espncdn.com/i/teamlogos/soccer/500/360.png